,Sr No.,Reference No (URN),Journal Date,"Date of
Purchase",Date of Expiry,Name of the Purchaser,Prefix,"Bond
Number",Denominations,Issue Branch Code,Issue Teller,Status
18,166,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5509,10000000,847,8424020,Paid
19,167,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5481,10000000,847,8424020,Paid
20,168,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,MERLIN RECREATION PVT LTD,TL,11450,1000000,1,5899230,Paid
21,169,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,MERLIN RECREATION PVT LTD,TL,11449,1000000,1,5899230,Paid
22,170,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,MERLIN RECREATION PVT LTD,OL,1121,100000,1,5899230,Paid
23,171,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,MERLIN RECREATION PVT LTD,OL,1120,100000,1,5899230,Paid
24,172,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,MERLIN RECREATION PVT LTD,OL,1123,100000,1,5899230,Paid
25,173,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,MERLIN RECREATION PVT LTD,OL,1116,100000,1,5899230,Paid
26,174,1.2019041200000013e+18,12/Apr/2019,12/Apr/2019,26/Apr/2019,MERLIN RECREATION PVT LTD,OL,1122,100000,1,5899230,Paid
27,175,8.1320190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,MSPL LTD,OC,588,10000000,813,5144485,Paid
28,176,7.820190412e+19,12/Apr/2019,12/Apr/2019,26/Apr/2019,MYRIAD DEVELOPERS,TL,2357,1000000,78,7601204,Paid
29,177,7.820190412e+19,12/Apr/2019,12/Apr/2019,26/Apr/2019,MYRIAD DEVELOPERS,OL,10036,100000,78,7601204,Paid
30,178,7.820190412e+19,12/Apr/2019,12/Apr/2019,26/Apr/2019,MYRIAD DEVELOPERS,OL,10032,100000,78,7601204,Paid
31,179,7.820190412e+19,12/Apr/2019,12/Apr/2019,26/Apr/2019,MYRIAD DEVELOPERS,OL,10038,100000,78,7601204,Paid
32,180,7.820190412e+19,12/Apr/2019,12/Apr/2019,26/Apr/2019,MYRIAD DEVELOPERS,OL,10034,100000,78,7601204,Paid
33,181,7.820190412e+19,12/Apr/2019,12/Apr/2019,26/Apr/2019,MYRIAD DEVELOPERS,OL,10030,100000,78,7601204,Paid
34,182,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,OMKAR VENTURES PVT LTD,OC,7070,10000000,300,4180496,Paid
35,183,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,OMKAR VENTURES PVT LTD,OC,7066,10000000,300,4180496,Paid
36,184,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,OMKAR VENTURES PVT LTD,OC,7068,10000000,300,4180496,Paid
37,185,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,OMKAR VENTURES PVT LTD,OC,7064,10000000,300,4180496,Paid
38,186,1.35520190412e+21,12/Apr/2019,12/Apr/2019,26/Apr/2019,PATEL HIGHWAY MANAGEMENT PVT LTD,OC,2855,10000000,1355,5137969,Paid
39,187,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,7018,10000000,300,4180496,Paid
40,188,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,7052,10000000,300,4180496,Paid
41,189,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,6678,10000000,300,4180496,Paid
42,190,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,6684,10000000,300,4180496,Paid
43,191,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,7002,10000000,300,4180496,Paid
44,192,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,7048,10000000,300,4180496,Paid
45,193,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,7020,10000000,300,4180496,Paid
46,194,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,7008,10000000,300,4180496,Paid
47,195,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,6694,10000000,300,4180496,Paid
48,196,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,7024,10000000,300,4180496,Paid
0,197,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,7006,10000000,300,4180496,Paid
1,198,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,7026,10000000,300,4180496,Paid
2,199,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,7028,10000000,300,4180496,Paid
3,200,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,6690,10000000,300,4180496,Paid
4,201,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,6700,10000000,300,4180496,Paid
5,202,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,7044,10000000,300,4180496,Paid
6,203,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,6698,10000000,300,4180496,Paid
7,204,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,7022,10000000,300,4180496,Paid
8,205,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,6674,10000000,300,4180496,Paid
9,206,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,7004,10000000,300,4180496,Paid
10,207,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,7030,10000000,300,4180496,Paid
11,208,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,6688,10000000,300,4180496,Paid
12,209,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,7046,10000000,300,4180496,Paid
13,210,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,7014,10000000,300,4180496,Paid
14,211,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,6682,10000000,300,4180496,Paid
15,212,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,7036,10000000,300,4180496,Paid
16,213,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,7050,10000000,300,4180496,Paid
17,214,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,6692,10000000,300,4180496,Paid
18,215,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,7038,10000000,300,4180496,Paid
19,216,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,7010,10000000,300,4180496,Paid
20,217,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,7012,10000000,300,4180496,Paid
21,218,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,6676,10000000,300,4180496,Paid
22,219,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,7034,10000000,300,4180496,Paid
23,220,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,6686,10000000,300,4180496,Paid
24,221,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,6680,10000000,300,4180496,Paid
25,222,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,7032,10000000,300,4180496,Paid
26,223,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,7040,10000000,300,4180496,Paid
27,224,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,7016,10000000,300,4180496,Paid
28,225,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,6696,10000000,300,4180496,Paid
29,226,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PHL FINIVEST PVT LTD,OC,7042,10000000,300,4180496,Paid
30,227,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,OC,6699,10000000,300,4180496,Paid
31,228,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,OC,6683,10000000,300,4180496,Paid
32,229,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,OC,6687,10000000,300,4180496,Paid
33,230,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,OC,6695,10000000,300,4180496,Paid
34,231,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,OC,7001,10000000,300,4180496,Paid
35,232,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,OC,6697,10000000,300,4180496,Paid
36,233,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,OC,6691,10000000,300,4180496,Paid
37,234,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,OC,6693,10000000,300,4180496,Paid
38,235,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,OC,6685,10000000,300,4180496,Paid
39,236,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,OC,6689,10000000,300,4180496,Paid
40,237,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PIRAMAL ENTERPRISES LTD,OC,7007,10000000,300,4180496,Paid
41,238,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PIRAMAL ENTERPRISES LTD,OC,7005,10000000,300,4180496,Paid
42,239,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PIRAMAL ENTERPRISES LTD,OC,7015,10000000,300,4180496,Paid
43,240,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PIRAMAL ENTERPRISES LTD,OC,7013,10000000,300,4180496,Paid
44,241,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PIRAMAL ENTERPRISES LTD,OC,7019,10000000,300,4180496,Paid
45,242,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PIRAMAL ENTERPRISES LTD,OC,7011,10000000,300,4180496,Paid
46,243,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PIRAMAL ENTERPRISES LTD,OC,7021,10000000,300,4180496,Paid
47,244,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PIRAMAL ENTERPRISES LTD,OC,7003,10000000,300,4180496,Paid
48,245,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PIRAMAL ENTERPRISES LTD,OC,7009,10000000,300,4180496,Paid
0,246,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PIRAMAL ENTERPRISES LTD,OC,7017,10000000,300,4180496,Paid
1,247,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PONUGOTI HEMENDAR RAO,OL,23643,100000,847,8424020,Paid
2,248,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PONUGOTI HEMENDAR RAO,OL,23641,100000,847,8424020,Paid
3,249,8.4720190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,PONUGOTI HEMENDAR RAO,OL,23645,100000,847,8424020,Paid
4,250,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,RENUKA INVESTMENTS AND FINANCE LTD,OC,7065,10000000,300,4180496,Paid
5,251,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,RENUKA INVESTMENTS AND FINANCE LTD,OC,7067,10000000,300,4180496,Paid
6,252,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,RENUKA INVESTMENTS AND FINANCE LTD,OC,7063,10000000,300,4180496,Paid
7,253,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,RENUKA INVESTMENTS AND FINANCE LTD,OC,7069,10000000,300,4180496,Paid
8,254,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,RENUKA INVESTMENTS AND FINANCE LTD,OC,7071,10000000,300,4180496,Paid
9,255,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,RENUKESHWAR INVESTMENTS PVT LTD,OC,7058,10000000,300,4180496,Paid
10,256,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,RENUKESHWAR INVESTMENTS PVT LTD,OC,7056,10000000,300,4180496,Paid
11,257,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,RENUKESHWAR INVESTMENTS PVT LTD,OC,7054,10000000,300,4180496,Paid
12,258,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,RENUKESHWAR INVESTMENTS PVT LTD,OC,7062,10000000,300,4180496,Paid
13,259,3.0020190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,RENUKESHWAR INVESTMENTS PVT LTD,OC,7060,10000000,300,4180496,Paid
14,260,7.820190412e+19,12/Apr/2019,12/Apr/2019,26/Apr/2019,SHIVAM TRANSCON PRIVATE LIMITED,TL,2351,1000000,78,7601204,Paid
15,261,7.820190412e+19,12/Apr/2019,12/Apr/2019,26/Apr/2019,SHIVAM TRANSCON PRIVATE LIMITED,TL,2353,1000000,78,7601204,Paid
16,262,7.820190412e+19,12/Apr/2019,12/Apr/2019,26/Apr/2019,SHIVAM TRANSCON PRIVATE LIMITED,TL,2355,1000000,78,7601204,Paid
17,263,7.820190412e+19,12/Apr/2019,12/Apr/2019,26/Apr/2019,SHIVAM TRANSCON PRIVATE LIMITED,TL,2349,1000000,78,7601204,Paid
18,264,7.820190412e+19,12/Apr/2019,12/Apr/2019,26/Apr/2019,SHIVAM TRANSCON PRIVATE LIMITED,TL,2346,1000000,78,7601204,Paid
19,265,7.820190412e+19,12/Apr/2019,12/Apr/2019,26/Apr/2019,SKYWORLD DEVELOPERS LLP,TL,2359,1000000,78,7601204,Paid
20,266,7.820190412e+19,12/Apr/2019,12/Apr/2019,26/Apr/2019,SKYWORLD DEVELOPERS LLP,OL,10046,100000,78,7601204,Paid
21,267,7.820190412e+19,12/Apr/2019,12/Apr/2019,26/Apr/2019,SKYWORLD DEVELOPERS LLP,OL,10040,100000,78,7601204,Paid
22,268,7.820190412e+19,12/Apr/2019,12/Apr/2019,26/Apr/2019,SKYWORLD DEVELOPERS LLP,OL,10042,100000,78,7601204,Paid
23,269,7.820190412e+19,12/Apr/2019,12/Apr/2019,26/Apr/2019,SKYWORLD DEVELOPERS LLP,OL,10044,100000,78,7601204,Paid
24,270,7.820190412e+19,12/Apr/2019,12/Apr/2019,26/Apr/2019,SKYWORLD DEVELOPERS LLP,OL,10048,100000,78,7601204,Paid
25,271,8.1320190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,TEXPORT CREATION,TL,9445,1000000,813,3122247,Paid
26,272,8.1320190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,TEXPORT CREATION,TL,9439,1000000,813,3122247,Paid
27,273,8.1320190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,TEXPORT CREATION,TL,9444,1000000,813,3122247,Paid
28,274,8.1320190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,TEXPORT CREATION,TL,9446,1000000,813,3122247,Paid
29,275,8.1320190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,TEXPORT CREATION,TL,9443,1000000,813,3122247,Paid
30,276,8.1320190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,TEXPORT CREATION,TL,9438,1000000,813,3122247,Paid
31,277,8.1320190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,TEXPORT CREATION,TL,9441,1000000,813,3122247,Paid
32,278,8.1320190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,TEXPORT CREATION,TL,9442,1000000,813,3122247,Paid
33,279,8.1320190412e+20,12/Apr/2019,12/Apr/2019,26/Apr/2019,TEXPORT CREATION,TL,9440,1000000,813,3122247,Paid
34,280,6.9120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,ALOK NARAYAN PANDEY,OC,5268,10000000,691,3300196,Paid
35,281,6.9120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,ALOK NARAYAN PANDEY,OC,5266,10000000,691,3300196,Paid
36,282,6.9120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,ALOK NARAYAN PANDEY,OC,5267,10000000,691,3300196,Paid
37,283,6.9120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,ALOK NARAYAN PANDEY,TL,10931,1000000,691,3300196,Paid
38,284,6.9120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,ALOK NARAYAN PANDEY,TL,10932,1000000,691,3300196,Paid
39,285,6.9120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,ALOK NARAYAN PANDEY,TL,10930,1000000,691,3300196,Paid
40,286,6.9120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,ALOK NARAYAN PANDEY,TL,10929,1000000,691,3300196,Paid
41,287,6.9120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,BELLWEY INTERNATIONAL CO,TL,10933,1000000,691,3300196,Paid
42,288,6.9120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,BELLWEY INTERNATIONAL CO,TL,10936,1000000,691,3300196,Paid
43,289,6.9120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,BELLWEY INTERNATIONAL CO,TL,10935,1000000,691,3300196,Paid
44,290,6.9120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,BELLWEY INTERNATIONAL CO,TL,10937,1000000,691,3300196,Paid
45,291,6.9120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,BELLWEY INTERNATIONAL CO,TL,10934,1000000,691,3300196,Paid
46,292,4.6120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,CHHATTISGARH DISTILLERIES LIMITED,OC,1357,10000000,461,5578876,Paid
47,293,5.0920190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,DEMPO INDUSTRIES PVT LTD,OL,13883,100000,509,7315678,Paid
48,294,5.0920190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,DEMPO INDUSTRIES PVT LTD,OL,13881,100000,509,7315678,Paid
0,295,5.0920190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,DEMPO INDUSTRIES PVT LTD,OL,13889,100000,509,7315678,Paid
1,296,5.0920190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,DEMPO INDUSTRIES PVT LTD,OL,13887,100000,509,7315678,Paid
2,297,5.0920190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,DEMPO INDUSTRIES PVT LTD,OL,13885,100000,509,7315678,Paid
3,298,1.35520190415e+21,15/Apr/2019,15/Apr/2019,29/Apr/2019,GUJARAT FLUORO CHEMICALS LIMITED,OC,2864,10000000,1355,5137969,Paid
4,299,1.35520190415e+21,15/Apr/2019,15/Apr/2019,29/Apr/2019,GUJARAT FLUORO CHEMICALS LIMITED,OC,2872,10000000,1355,5137969,Paid
5,300,1.35520190415e+21,15/Apr/2019,15/Apr/2019,29/Apr/2019,GUJARAT FLUORO CHEMICALS LIMITED,OC,2860,10000000,1355,5137969,Paid
6,301,1.35520190415e+21,15/Apr/2019,15/Apr/2019,29/Apr/2019,GUJARAT FLUORO CHEMICALS LIMITED,OC,2862,10000000,1355,5137969,Paid
7,302,1.35520190415e+21,15/Apr/2019,15/Apr/2019,29/Apr/2019,GUJARAT FLUORO CHEMICALS LIMITED,OC,2866,10000000,1355,5137969,Paid
8,303,1.35520190415e+21,15/Apr/2019,15/Apr/2019,29/Apr/2019,GUJARAT FLUORO CHEMICALS LIMITED,OC,2868,10000000,1355,5137969,Paid
9,304,1.35520190415e+21,15/Apr/2019,15/Apr/2019,29/Apr/2019,GUJARAT FLUORO CHEMICALS LIMITED,OC,2858,10000000,1355,5137969,Paid
10,305,1.35520190415e+21,15/Apr/2019,15/Apr/2019,29/Apr/2019,GUJARAT FLUORO CHEMICALS LIMITED,OC,2870,10000000,1355,5137969,Paid
11,306,1.35520190415e+21,15/Apr/2019,15/Apr/2019,29/Apr/2019,GUJARAT FLUORO CHEMICALS LIMITED,OC,2874,10000000,1355,5137969,Paid
12,307,1.35520190415e+21,15/Apr/2019,15/Apr/2019,29/Apr/2019,GUJARAT FLUORO CHEMICALS LIMITED,OC,2856,10000000,1355,5137969,Paid
13,308,8.4720190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,KOTESWAR RAO GULLAPALLY,OL,23675,100000,847,8424020,Paid
14,309,8.4720190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,KOTESWAR RAO GULLAPALLY,OL,23668,100000,847,8424020,Paid
15,310,8.4720190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,KOTESWAR RAO GULLAPALLY,OL,23670,100000,847,8424020,Paid
16,311,8.4720190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,KOTESWAR RAO GULLAPALLY,OL,23677,100000,847,8424020,Paid
17,312,8.4720190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,KOTESWAR RAO GULLAPALLY,OL,23672,100000,847,8424020,Paid
18,313,8.4720190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,MANDADI RAMULU,OL,23651,100000,847,8424020,Paid
19,314,8.4720190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,MANDADI RAMULU,OL,23653,100000,847,8424020,Paid
20,315,8.4720190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,MANDADI RAMULU,OL,23655,100000,847,8424020,Paid
21,316,8.4720190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,MANDADI RAMULU,OL,23657,100000,847,8424020,Paid
22,317,6.9120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,MOHINDER KUMAR JAIN,TL,10908,1000000,691,3300196,Paid
23,318,6.9120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,MOHINDER KUMAR JAIN,TL,10909,1000000,691,3300196,Paid
24,319,6.9120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,MOHINDER KUMAR JAIN,OL,3145,100000,691,3300196,Paid
25,320,6.9120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,MOHINDER KUMAR JAIN,OL,3143,100000,691,3300196,Paid
26,321,6.9120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,MOHINDER KUMAR JAIN,OL,3144,100000,691,3300196,Paid
27,322,6.9120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,MOHINDER KUMAR JAIN,OL,3142,100000,691,3300196,Paid
28,323,6.9120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,MOHINDER KUMAR JAIN,OL,3141,100000,691,3300196,Paid
29,324,6.9120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,MR RAJ DEEPAK VARSHNEY,OL,3146,100000,691,3300196,Paid
30,325,6.9120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,MR RAJ DEEPAK VARSHNEY,OL,3130,100000,691,3300196,Paid
31,326,6.9120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,MR RAJ DEEPAK VARSHNEY,OL,3129,100000,691,3300196,Paid
32,327,6.9120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,MR RAJ DEEPAK VARSHNEY,OL,3128,100000,691,3300196,Paid
33,328,6.9120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,MR RAJ DEEPAK VARSHNEY,OL,3127,100000,691,3300196,Paid
34,329,6.9120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,MS PEARL GLOBAL INDUSTRIES LTD FORM,TL,10926,1000000,691,3300196,Paid
35,330,6.9120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,MS PEARL GLOBAL INDUSTRIES LTD FORM,TL,10925,1000000,691,3300196,Paid
36,331,6.9120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,MS PEARL GLOBAL INDUSTRIES LTD FORM,TL,10928,1000000,691,3300196,Paid
37,332,6.9120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,MS PEARL GLOBAL INDUSTRIES LTD FORM,TL,10922,1000000,691,3300196,Paid
38,333,6.9120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,MS PEARL GLOBAL INDUSTRIES LTD FORM,TL,10905,1000000,691,3300196,Paid
39,334,6.9120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,MS PEARL GLOBAL INDUSTRIES LTD FORM,TL,10924,1000000,691,3300196,Paid
40,335,6.9120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,MS PEARL GLOBAL INDUSTRIES LTD FORM,TL,10907,1000000,691,3300196,Paid
41,336,6.9120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,MS PEARL GLOBAL INDUSTRIES LTD FORM,TL,10927,1000000,691,3300196,Paid
42,337,6.9120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,MS PEARL GLOBAL INDUSTRIES LTD FORM,TL,10906,1000000,691,3300196,Paid
43,338,6.9120190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,MS PEARL GLOBAL INDUSTRIES LTD FORM,TL,10923,1000000,691,3300196,Paid
44,339,8.4720190415e+20,15/Apr/2019,15/Apr/2019,29/Apr/2019,OCEAN SPARKLE LTD,TL,7537,1000000,847,8424020,Paid
